,Year,Passengers
0,1970,7.3187
1,1971,7.3266
2,1972,7.7956
3,1973,9.3846
4,1974,10.6647
5,1975,11.0551
6,1976,10.8643
7,1977,11.3065
8,1978,12.1223
9,1979,13.0225
10,1980,13.6488
11,1981,13.2195
12,1982,13.1879
13,1983,12.6015
14,1984,13.2368
15,1985,14.4121
16,1986,15.4973
17,1987,16.8802
18,1988,18.8163
19,1989,15.1143
20,1990,17.5534
21,1991,21.8601
22,1992,23.8866
23,1993,26.9293
24,1994,26.8885
25,1995,28.8314
26,1996,30.0751
27,1997,30.9535
28,1998,30.1857
29,1999,31.5797
30,2000,32.577569
31,2001,33.477398
32,2002,39.021581
33,2003,41.386432
34,2004,41.596552
35,2005,44.657324
36,2006,46.951775
37,2007,48.728837
38,2008,51.488427
39,2009,50.026967
40,2010,60.640913
41,2011,63.3603103378
42,2012,66.355274
43,2013,68.197955
44,2014,68.12323766930001
45,2015,69.7793454797
46,2016,72.59770080599999
